hall_id,hall_name,model_name,rank,plus_count,total_count,avg_diff,avg_games
260000700000004312,アミューズ千葉,ドラゴンハナハナ～閃光～‐30,4,4,4,+1071,7794
260000700000004312,アミューズ千葉,A‐SLOT+ 異世界かるてっとBT,3,3,3,+1178,7351
260000700000004312,アミューズ千葉,"L 東京喰種 (1112～1116番台)
                   ",3,4,5,+1959,6127
260000700000004312,アミューズ千葉,スマスロ 甲鉄城のカバネリ 海門決戦,3,10,15,+1498,6148
260000700000004312,アミューズ千葉,ハイビリターン‐30,3,3,3,+1752,6199
260000700000004312,アミューズ千葉,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,5,3,3,+4929,8278
260000700000004312,アミューズ千葉,スマスロモンキーターンV,4,13,18,+1582,6461
260000700000004312,アミューズ千葉,ファンキージャグラー2,4,4,5,+1445,7741
260000700000004312,アミューズ千葉,新ハナビ,4,6,6,+1608,7409
260000700000004312,アミューズ千葉,L 無職転生 ～異世界行ったら本気だす～,3,5,7,+1259,6722
260000700000004312,アミューズ千葉,L アズールレーン THE ANIMATION,5,3,3,+4816,6985
260000700000004312,アミューズ千葉,Lパチスロ 炎炎ノ消防隊2,5,5,8,+3671,8705
260000700000004312,アミューズ千葉,スマスロモンキーターンV,5,16,18,+4974,7236
260000700000004312,アミューズ千葉,パチスロ からくりサーカス,4,3,3,+4310,6808
260000700000004312,アミューズ千葉,L 無職転生 ～異世界行ったら本気だす～,3,4,7,+1663,7010
260000700000004312,アミューズ千葉,スマスロ北斗の拳,5,15,15,+3327,8521
260000700000004312,アミューズ千葉,スマスロスーパーブラックジャック,4,3,4,+3827,6129
260000700000004312,アミューズ千葉,ネオアイムジャグラーEX,4,18,26,+957,7528
260000700000004312,アミューズ千葉,パチスロ からくりサーカス,3,2,3,+2598,6017
260000700000004312,アミューズ千葉,パチスロ甲鉄城のカバネリ,3,4,5,+1688,6067
260000700000004312,アミューズ千葉,"ランク4 4/26(日) 機種単位
4/4台 平均+1,143枚 平均7,857",4,4,4,+1143,7857
260000700000004312,アミューズ千葉,"ランク1 4/23(木) 機種単位
4/4台 平均+1,208枚 平均4,859",1,4,4,+1208,4859
260000700000004312,アミューズ千葉,"ランク2 4/21(火) 機種単位
2/4台 平均+763枚 平均7,635G
",2,2,4,+763,7635
260000700000004312,アミューズ千葉,"ランク3 4/20(月) 機種単位
4/4台 平均+1,396枚 平均6,615",3,4,4,+1396,6615
260000700000004312,アミューズ千葉,"ランク3 4/19(日) 機種単位
3/4台 平均+1,928枚 平均6,407",3,3,4,+1928,6407
260000700000004312,アミューズ千葉,"ランク0 4/16(木) 機種単位
2/4台 平均+388枚 平均7,396G
",0,2,4,+388,7396
