hall_id,hall_name,today_score,today_events,schedule_week
260000700000004312,アミューズ千葉,,・ / 新台入替(P-WORLD引用),4/28:9.7点 新台入替(P-WORLD引用) / 明日: | 4/29:11.7点 スロトレ調査団　完全制覇 | 5/1:16.0点 ナビ子AI予想【機種仕掛け】★5+ (1のつく日) / 天草極上ホール応援団来店 / PFちゅんげー調査隊来店 / 旧イベ(1のつく日) | 5/5:15.6点 ナビ子AI予想【差枚プラス】★5 (月と重なる日) / ナビ子AI予想【機種仕掛け】★5+ (月と重なる日) / 旧イベ(月と重なる日) / ※一部取材スケジュールの推測について / 「千葉県
260001500000002451,ピーアーク千葉駅前,,"A / タレント・ライター / ※『中野六区来店』 / DMMぱちタウン / 「タレント・ライター」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認309件 / 実施631件 (49%) / 出玉状況	平均+31枚 上位31.7% / 稼働状況	平均3,943G 上位35% / 単独開催時	平均-73枚 平均3,835G / ",4/28:12.2点 タレント・ライター / ※『中野六区来店』 / DMMぱちタウン / 「タレント・ライター」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認309件 / 実施631件 (49%) / 出玉状況	平均+31枚 上位31.7% /  | 4/29:8.3点 にゃにゃふらい来店 / パチ連単 祭 / リアルパチンコ調査隊来店 / 虎桜蛙舞来店取材 | 4/30:15.0点 スロパチガール来店S / ぽとちゃん来店 / エンジョイ玉調査隊来店 / パチ連単 祭 | 5/1:8.3点 裏半撃来店取材 | 5/2:11.3点 タレント・ライター | 5/3:12.2点 真骨超 / アツ姫来店 | 5/4:14.5点 スロパチガール来店S / エンジョイ玉調査隊来店
260002400000001210,スーパーDステーション千葉みなと,,情報はありません,4/29:4.5点 旧イベ(9のつく日) | 5/3:4.5点 旧イベ(3のつく日) / ※一部取材スケジュールの推測について / 「千葉県
260002400000122180,マルハン千葉みなと店,,"C / 戦極 獅子奮迅 / パチスロ必勝本 / 「戦極 獅子奮迅」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認48件 / 実施185件 (25.9%) / 出玉状況	平均-76枚 上位77.5% / 稼働状況	平均2,808G 上位70.1% / 単独開催時	平均-86枚 平均2,742G / 確認店舗数	18店舗 / 開","4/28:7.3点 戦極 獅子奮迅 / パチスロ必勝本 / 「戦極 獅子奮迅」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認48件 / 実施185件 (25.9%) / 出玉状況	平均-76枚 上位77.5% / 稼働状況	平均2,808G 上位 | 4/29:7.7点 アツ姫来店 / ゆうちゃろ来店 | 5/2:10.8点 渋沢が行く！ | 5/3:8.3点 アツ姫来店 | 5/4:6.3点 全集中NYANJA取材 | 5/5:11.2点 ナビ子AI予想【差枚プラス】★1 (月と重なる日) / サンスポホール取材 / ※一部取材スケジュールの推測について / 「千葉県"
260003100000001410,ニュー後楽園JR千葉西口店,,情報はありません,4/29:6.5点 クロロ調査隊チームS | 4/30:10.0点 ナビ子AI予想【機種仕掛け】★3 | 5/2:6.5点 クロロ調査隊チームS | 5/3:6.5点 クロロ調査隊チームS | 5/4:6.5点 クロロ調査隊チームS | 5/5:10.0点 ナビ子AI予想【機種仕掛け】★3 / 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
260080100000055890,鳩ホールイースト,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
260082400001025590,Dステーション浜野,,情報はありません,4/29:5.6点 旧イベ(9のつく日) | 4/30:8.6点 ぱちタウンタレント来店(いち花) | 5/3:5.6点 旧イベ(3のつく日) | 5/4:9.2点 モンスター取材調査員来店 / スロ姫来店 / MONSTER / ※一部取材スケジュールの推測について / 「千葉県
260082500008931960,フラミンゴ浜野店,,情報はありません,4/29:10.2点 田中逆回転来店 | 5/3:10.6点 田中逆回転来店 / 旧イベ過去状況評価 +0.5 / 旧イベ(3のつく日) | 5/4:10.2点 田中逆回転来店 | 5/5:5.2点 旧イベ過去状況評価 +0.5 / 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
260083400000210100,ZAP蘇我店,,情報はありません,5/1:8.2点 クロロ調査隊チームS / ※一部取材スケジュールの推測について / 「千葉県
260084300000005710,キクヤ千葉店,,"・ / 全力取材 / 全力パチスロ部 / 10日～1か月など長期で連続で開催されます / 「全力取材」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認633件 / 実施1198件 (52.8%) / 出玉状況	平均+32枚 上位31.7% / 稼働状況	平均4,152G 上位27.5% / 単独開催時	平均-24枚 平均2,4",4/28:11.8点 全力取材 / 全力パチスロ部 / 10日～1か月など長期で連続で開催されます / 「全力取材」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認633件 / 実施1198件 (52.8%) / 出玉状況	平均+32枚 上位31.7 | 5/5:16.3点 ナビ子AI予想【機種仕掛け】★4 (月と重なる日) / 旧イベ(月と重なる日) / ※一部取材スケジュールの推測について / 「千葉県
